time_s,Voltage_5
0.7100000000000001,4.703466
0.7110000000000001,4.795091
0.7120000000000001,4.795091
0.7130000000000001,4.672925
0.7140000000000001,4.734008
0.7150000000000001,4.611841
0.7160000000000001,4.642383
0.7170000000000001,4.642383
0.7180000000000001,4.611841
0.7190000000000001,4.611841
0.7200000000000001,4.520216
0.7210000000000001,4.550758
0.7220000000000001,4.520216
0.7230000000000001,4.459133
0.7240000000000001,4.39805
0.7250000000000001,4.520216
0.7260000000000001,4.550758
0.7270000000000001,4.611841
0.7280000000000001,4.611841
0.7290000000000001,4.611841
0.7300000000000001,4.703466
0.7310000000000001,4.734008
0.7320000000000001,4.734008
0.7330000000000001,4.672925
0.7340000000000001,4.703466
0.7350000000000001,4.611841
0.7360000000000001,4.703466
0.7370000000000001,4.611841
0.7380000000000001,4.5813
0.7390000000000001,4.611841
0.7400000000000001,4.550758
0.7410000000000001,4.489675
0.7420000000000001,4.489675
0.7430000000000001,4.459133
0.7440000000000001,4.489675
0.7450000000000001,4.520216
0.7460000000000001,4.489675
0.7470000000000001,4.5813
0.7480000000000001,4.5813
0.7490000000000001,4.642383
0.7500000000000001,4.734008
0.7510000000000001,4.764549
0.7520000000000001,4.764549
0.7530000000000001,4.642383
0.7540000000000001,4.672925
0.7550000000000001,4.642383
0.7560000000000001,4.642383
0.7570000000000001,4.642383
0.7580000000000001,4.550758
0.7590000000000001,4.5813
0.76,4.550758
0.7610000000000001,4.550758
0.762,4.550758
0.7630000000000001,4.520216
0.764,4.459133
0.7650000000000001,4.520216
0.766,4.520216
0.7670000000000001,4.5813
0.768,4.611841
0.7690000000000001,4.642383
0.77,4.703466
0.771,4.764549
0.772,4.734008
0.773,4.703466
0.774,4.703466
0.775,4.672925
0.776,4.672925
0.777,4.642383
0.778,4.5813
0.779,4.5813
0.78,4.550758
0.781,4.550758
0.782,4.489675
0.783,4.489675
0.784,4.489675
0.785,4.5813
0.786,4.520216
0.787,4.5813
0.788,4.642383
0.789,4.611841
0.79,4.703466
0.791,4.764549
0.792,4.703466
0.793,4.642383
0.794,4.642383
0.795,4.703466
0.796,4.642383
0.797,4.611841
0.798,4.550758
0.799,4.5813
0.8,4.5813
0.801,4.550758
0.802,4.489675
0.803,4.520216
0.804,4.489675
0.805,4.550758
0.806,4.672925
0.807,4.611841
0.808,4.5813
0.809,4.642383
0.81,4.764549
0.811,4.764549
0.812,4.764549
0.8130000000000001,4.734008
0.8140000000000001,4.672925
0.8150000000000001,4.672925
0.8160000000000001,4.642383
0.8170000000000001,4.611841
0.8180000000000001,4.611841
0.8190000000000001,4.5813
0.8200000000000001,4.5813
0.8210000000000001,4.520216
0.8220000000000001,4.459133
0.8230000000000001,4.39805
0.8240000000000001,4.489675
0.8250000000000001,4.459133
0.8260000000000001,4.520216
0.8270000000000001,4.5813
0.8280000000000001,4.5813
0.8290000000000001,4.5813
0.8300000000000001,4.734008
0.8310000000000001,4.764549
0.8320000000000001,4.764549
0.8330000000000001,4.703466
0.8340000000000001,4.734008
0.8350000000000001,4.734008
0.8360000000000001,4.642383
0.8370000000000001,4.642383
0.8380000000000001,4.5813
0.8390000000000001,4.703466
0.8400000000000001,4.5813
0.8410000000000001,4.520216
0.8420000000000001,4.489675
0.8430000000000001,4.489675
0.8440000000000001,4.520216
0.8450000000000001,4.489675
0.8460000000000001,4.489675
0.8470000000000001,4.5813
0.8480000000000001,4.550758
0.8490000000000001,4.642383
0.8500000000000001,4.672925
0.8510000000000001,4.734008
0.8520000000000001,4.795091
0.8530000000000001,4.672925
0.8540000000000001,4.703466
0.8550000000000001,4.642383
0.8560000000000001,4.703466
0.8570000000000001,4.611841
0.8580000000000001,4.5813
0.859,4.550758
0.8600000000000001,4.5813
0.861,4.550758
0.8620000000000001,4.520216
0.863,4.5813
0.8640000000000001,4.428592
0.865,4.520216
0.8660000000000001,4.550758
0.867,4.611841
0.8680000000000001,4.611841
0.869,4.642383
0.8700000000000001,4.672925
0.871,4.734008
0.872,4.795091
0.873,4.672925
0.874,4.703466
0.875,4.703466
0.876,4.611841
0.877,4.611841
0.878,4.550758
0.879,4.611841
0.88,4.5813
0.881,4.520216
0.882,4.550758
0.883,4.550758
0.884,4.489675
0.885,4.5813
0.886,4.5813
0.887,4.550758
0.888,4.520216
0.889,4.672925
0.89,4.672925
0.891,4.734008
0.892,4.764549
0.893,4.611841
0.894,4.703466
0.895,4.642383
0.896,4.703466
0.897,4.611841
0.898,4.5813
0.899,4.5813
0.9,4.611841
0.901,4.5813
0.902,4.489675
0.903,4.520216
0.904,4.39805
0.905,4.520216
0.906,4.520216
0.907,4.5813
0.908,4.642383
0.909,4.611841
0.91,4.672925
0.911,4.734008
0.912,4.764549
0.913,4.703466
0.914,4.672925
0.915,4.611841
0.916,4.5813
0.917,4.703466
0.918,4.550758
0.919,4.5813
0.92,4.5813
0.921,4.520216
0.922,4.489675
0.923,4.459133
0.924,4.520216
0.925,4.489675
0.926,4.550758
0.927,4.520216
0.928,4.642383
0.929,4.672925
0.93,4.703466
0.931,4.795091
0.932,4.764549
0.933,4.672925
0.934,4.672925
0.935,4.642383
0.936,4.520216
0.937,4.611841
0.9380000000000001,4.611841
0.9390000000000001,4.5813
0.9400000000000001,4.5813
0.9410000000000001,4.520216
0.9420000000000001,4.489675
0.9430000000000001,4.489675
0.9440000000000001,4.367508
0.9450000000000001,4.520216
0.9460000000000001,4.520216
0.9470000000000001,4.550758
0.9480000000000001,4.550758
0.9490000000000001,4.611841
0.9500000000000001,4.734008
0.9510000000000001,4.825633
0.9520000000000001,4.734008
0.9530000000000001,4.764549
0.9540000000000001,4.703466
0.9550000000000001,4.642383
0.9560000000000001,4.672925
0.9570000000000001,4.611841
0.9580000000000001,4.5813
0.9590000000000001,4.550758
0.96,4.550758
0.9610000000000001,4.5813
0.962,4.459133
0.9630000000000001,4.489675
0.964,4.459133
0.9650000000000001,4.550758
0.966,4.520216
0.9670000000000001,4.611841
0.968,4.5813
0.9690000000000001,4.611841
0.97,4.703466
0.971,4.764549
0.972,4.734008
0.973,4.703466
0.974,4.672925
0.975,4.703466
0.976,4.642383
0.977,4.5813
0.978,4.611841
0.979,4.550758
0.98,4.550758
0.981,4.550758
0.982,4.489675
0.983,4.520216
0.984,4.520216
0.985,4.489675
0.986,4.550758
0.987,4.5813
0.988,4.611841
0.989,4.642383
0.99,4.672925
0.991,4.764549
0.992,4.734008
0.993,4.642383
0.994,4.734008
0.995,4.703466
0.996,4.672925
0.997,4.5813
0.998,4.550758
0.999,4.5813
1.0,4.550758
1.001,4.5813
1.002,4.520216
1.003,4.489675
1.004,4.459133
1.005,4.489675
1.006,4.520216
1.007,4.611841
1.008,4.611841
1.009,4.611841
1.01,4.672925
1.011,4.703466
1.012,4.734008
1.013,4.672925
1.014,4.672925
1.015,4.642383
1.016,4.642383
1.017,4.642383
1.018,4.611841
1.019,4.611841
1.02,4.550758
1.021,4.459133
1.022,4.459133
1.023,4.489675
1.024,4.489675
1.025,4.611841
1.026,4.5813
1.027,4.5813
1.028,4.611841
1.029,4.611841
1.03,4.672925
1.031,4.764549
1.032,4.764549
1.033,4.672925
1.034,4.642383
1.035,4.642383
1.036,4.734008
1.037,4.642383
1.038,4.611841
1.039,4.5813
1.04,4.5813
1.041,4.550758
1.042,4.520216
1.043,4.520216
1.044,4.428592
1.045,4.611841
1.046,4.611841
1.047,4.520216
1.048,4.611841
1.049,4.642383
1.05,4.672925
1.051,4.795091
1.052,4.734008
1.053,4.703466
1.054,4.672925
1.055,4.611841
1.056,4.611841
1.057,4.672925
1.058,4.611841
1.059,4.611841
1.06,4.520216
1.061,4.550758
1.062,4.489675
1.063,4.520216
1.064,4.489675
1.065,4.550758
1.066,4.489675
1.067,4.550758
1.068,4.611841
1.069,4.611841
1.07,4.672925
1.071,4.764549
1.072,4.795091
1.073,4.703466
1.074,4.642383
1.075,4.703466
1.076,4.672925
1.077,4.642383
1.078,4.611841
1.079,4.611841
1.08,4.520216
1.081,4.520216
1.082,4.489675
1.083,4.520216
1.084,4.459133
1.085,4.5813
1.086,4.520216
1.087,4.5813
1.088,4.611841
1.089,4.5813
1.09,4.672925
1.091,4.734008
1.092,4.764549
1.093,4.734008
1.094,4.734008
1.095,4.672925
1.096,4.611841
1.097,4.642383
1.098,4.611841
1.099,4.550758
1.1,4.550758
1.101,4.550758
1.102,4.489675
1.103,4.489675
1.104,4.428592
1.105,4.489675
1.106,4.550758
1.107,4.550758
1.108,4.5813
1.109,4.642383
1.11,4.642383
1.111,4.672925
1.112,4.734008
1.113,4.672925
1.114,4.672925
1.115,4.703466
1.116,4.5813
1.117,4.611841
1.118,4.611841
1.119,4.5813
1.12,4.5813
1.121,4.550758
1.122,4.520216
1.123,4.550758
1.124,4.489675
1.125,4.489675
1.1260000000000001,4.550758
1.127,4.5813
1.1280000000000001,4.5813
1.129,4.611841
1.1300000000000001,4.642383
1.131,4.703466
1.1320000000000001,4.734008
1.133,4.642383
1.1340000000000001,4.703466
1.135,4.672925
1.1360000000000001,4.734008
1.137,4.642383
1.1380000000000001,4.5813
1.139,4.550758
1.1400000000000001,4.5813
1.141,4.5813
1.1420000000000001,4.550758
1.143,4.489675
1.1440000000000001,4.428592
1.145,4.489675
1.1460000000000001,4.520216
1.147,4.611841
1.1480000000000001,4.5813
1.149,4.611841
1.1500000000000001,4.642383
1.151,4.734008
1.1520000000000001,4.672925
1.153,4.672925
1.1540000000000001,4.734008
1.155,4.672925
1.1560000000000001,4.672925
1.157,4.642383
1.1580000000000001,4.5813
1.159,4.5813
1.1600000000000001,4.611841
1.161,0.336017
1.1620000000000001,0.305475
1.163,0.274934
1.1640000000000001,0.21385
1.165,0.21385
1.1660000000000001,0.244392
1.167,0.274934
1.1680000000000001,0.305475
1.169,0.336017
1.1700000000000002,0.366558
1.171,0.366558
